sku,nombre,categoria,precio_cop,stock,estado
ECO-001,Botella reutilizable,accesorios,35000,82,disponible
ECO-002,Bolsa compostable 50u,hogar,18000,140,disponible
ECO-003,Kit cubiertos bambu,cocina,42000,0,agotado
ECO-004,Shampoo solido,belleza,27000,57,disponible
ECO-005,Cepillo dental de bambu,higiene,12000,96,disponible
ECO-006,Esponja vegetal natural,hogar,9000,120,disponible
ECO-007,Detergente ecologico 1L,limpieza,29000,64,disponible
ECO-008,Termo de acero inoxidable,accesorios,68000,41,disponible
ECO-009,Velas de cera de soya 2u,hogar,26000,33,disponible
ECO-010,Cuaderno papel reciclado,oficina,15000,88,disponible
ECO-011,Toallas desmaquillantes reutilizables,belleza,24000,52,disponible
ECO-012,Filtro de agua de carbon activado,hogar,79000,27,disponible
ECO-013,Envoltorios de cera de abeja 3u,cocina,31000,49,disponible
ECO-014,Jabon biodegradable para ropa,limpieza,22000,75,disponible
ECO-015,Maceta de fibra de coco,jardineria,19000,61,disponible
ECO-016,Pitillo de acero reutilizable 4u,accesorios,16000,90,disponible
ECO-017,Bolsa reutilizable de algodon,hogar,14000,130,disponible
ECO-018,Pasta dental natural,higiene,21000,58,disponible
ECO-019,Acondicionador solido,belleza,28000,44,disponible
ECO-020,Jabon corporal vegano,belleza,19000,72,disponible
ECO-021,Limpiador multiusos ecologico,limpieza,25000,66,disponible
ECO-022,Servilletas recicladas 100u,hogar,11000,115,disponible
ECO-023,Papel higienico reciclado 6u,hogar,23000,84,disponible
ECO-024,Toalla de cocina reutilizable 2u,cocina,17000,53,disponible
ECO-025,Set de recipientes de vidrio 3u,cocina,54000,36,disponible
ECO-026,Botella de vidrio 750ml,accesorios,33000,47,disponible
ECO-027,Desodorante natural en barra,higiene,26000,39,disponible
ECO-028,Crema corporal organica,belleza,34000,28,disponible
ECO-029,Jabon para platos biodegradable,limpieza,20000,69,disponible
ECO-030,Cepillo para lavar vajilla bambu,cocina,18000,55,disponible
ECO-031,Compostera domestica 10L,jardineria,98000,18,disponible
ECO-032,Semillas de huerta organica,jardineria,12000,102,disponible
ECO-033,Sustrato organico 5kg,jardineria,27000,43,disponible
ECO-034,Guantes de jardineria reciclados,jardineria,22000,31,disponible
ECO-035,Lapices reciclados 10u,oficina,9000,140,disponible
ECO-036,Resaltadores recargables 4u,oficina,25000,46,disponible
ECO-037,Carpeta carton reciclado,oficina,13000,79,disponible
ECO-038,Agenda eco 2026,oficina,29000,26,disponible
ECO-039,Taza de bambu para cafe,accesorios,24000,67,disponible
ECO-040,Filtro de cafe reutilizable,cocina,21000,34,disponible
ECO-041,Infusor de te acero inoxidable,cocina,17000,63,disponible
ECO-042,Panales de tela reutilizables 2u,higiene,76000,22,disponible
ECO-043,Copa menstrual silicona medica,higiene,85000,17,disponible
ECO-044,Protector solar mineral,belleza,47000,25,disponible
ECO-045,Balsamo labial natural,belleza,15000,81,disponible
ECO-046,Shampoo mascota biodegradable,mascotas,32000,29,disponible
